file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_0_1_1_0.json,1,1.4400,1.0000,0.2870,0.3010,1.0,1.0,
fcma_prob_0_1_1_0.json,2,1.4400,1.0000,0.0828,0.0924,1.0,1.0,
fcma_prob_0_1_1_0.json,3,1.4400,1.0000,0.0060,0.0161,1.0,1.0,
fcma_prob_10_1_4_0.json,1,0.3840,1.0000,0.1895,0.1947,1.0,1.0,
fcma_prob_10_1_4_0.json,2,0.3840,1.0000,0.0963,0.1014,1.0,1.0,
fcma_prob_10_1_4_0.json,3,0.3840,1.0000,0.0078,0.0110,1.0,1.0,
fcma_prob_11_1_4_0.json,1,0.0912,1.0000,0.3231,0.3271,1.0,1.0,
fcma_prob_11_1_4_0.json,2,0.0960,1.0526,0.0865,0.0905,1.0,1.0,
fcma_prob_11_1_4_0.json,3,0.0960,1.0526,0.0070,0.0110,1.0,1.0,
fcma_prob_12_1_4_3_2_0.json,1,12.4100,1.0241,0.1810,0.2246,1.0,1.0,
fcma_prob_12_1_4_3_2_0.json,2,12.8480,1.0602,0.0894,0.1359,1.0,1.0,
fcma_prob_12_1_4_3_2_0.json,3,12.8480,1.0602,0.0063,0.0283,1.0,1.0,
fcma_prob_13_1_4_3_2_0.json,1,0.2920,1.0000,0.1828,0.1858,1.0,1.0,
fcma_prob_13_1_4_3_2_0.json,2,0.2920,1.0000,0.0902,0.0932,1.0,1.0,
fcma_prob_13_1_4_3_2_0.json,3,0.2920,1.0000,0.0070,0.0090,1.0,1.0,
fcma_prob_14_1_4_3_8_0.json,1,5.1360,1.1146,0.1865,0.2222,1.0,1.0,
fcma_prob_14_1_4_3_8_0.json,2,5.1360,1.1146,0.0808,0.1013,1.0,1.0,
fcma_prob_14_1_4_3_8_0.json,3,5.1360,1.1146,0.0060,0.0131,1.0,1.0,
fcma_prob_15_1_4_3_8_0.json,1,1.2000,1.1746,0.2810,0.3393,1.0,1.0,
