file,speed_level,cost($/hour),cost/lower_bound,prealloc_time(sec),total_time(sec),relative_cost,relative_time,comment
fcma_prob_0_1_1_0.json,1,1.4400,1.0000,0.2772,0.2895,1.0000,0.9658,0.9617,
fcma_prob_0_1_1_0.json,2,1.4400,1.0000,0.0904,0.1017,1.0000,1.0913,1.1001,
fcma_prob_0_1_1_0.json,3,1.4400,1.0000,0.0061,0.0155,1.0000,1.0215,0.9637,
fcma_prob_10_1_4_0.json,1,0.3840,1.0000,0.1962,0.2013,1.0000,1.0353,1.0341,
fcma_prob_10_1_4_0.json,2,0.3840,1.0000,0.0914,0.0946,1.0000,0.9493,0.9330,
fcma_prob_10_1_4_0.json,3,0.3840,1.0000,0.0074,0.0105,1.0000,0.9476,0.9586,
fcma_prob_11_1_4_0.json,1,0.0912,1.0000,0.3286,0.3327,1.0000,1.0170,1.0172,
fcma_prob_11_1_4_0.json,2,0.0960,1.0526,0.0851,0.0892,1.0000,0.9836,0.9858,
fcma_prob_11_1_4_0.json,3,0.0960,1.0526,0.0061,0.0093,1.0000,0.8763,0.8499,
fcma_prob_12_1_4_3_2_0.json,1,12.4100,1.0241,0.1926,0.2394,1.0000,1.0642,1.0660,
fcma_prob_12_1_4_3_2_0.json,2,12.8480,1.0602,0.1033,0.1452,1.0000,1.1555,1.0685,
fcma_prob_12_1_4_3_2_0.json,3,12.8480,1.0602,0.0063,0.0284,1.0000,0.9958,1.0048,
fcma_prob_13_1_4_3_2_0.json,1,0.2920,1.0000,0.1807,0.1854,1.0000,0.9885,0.9978,
fcma_prob_13_1_4_3_2_0.json,2,0.2920,1.0000,0.0915,0.0945,1.0000,1.0142,1.0143,
fcma_prob_13_1_4_3_2_0.json,3,0.2920,1.0000,0.0057,0.0087,1.0000,0.8104,0.9711,
fcma_prob_14_1_4_3_8_0.json,1,5.1360,1.1146,0.1863,0.2220,1.0000,0.9989,0.9992,
fcma_prob_14_1_4_3_8_0.json,2,5.1360,1.1146,0.0887,0.1113,1.0000,1.0978,1.0988,
fcma_prob_14_1_4_3_8_0.json,3,5.1360,1.1146,0.0070,0.0150,1.0000,1.1630,1.1414,
fcma_prob_15_1_4_3_8_0.json,1,1.2000,1.1746,0.2681,0.3321,1.0000,0.9540,0.9788,
fcma_prob_15_1_4_3_8_0.json,2,1.4200,1.3900,0.0922,0.1266,1.0000,1.0811,1.0990,
fcma_prob_15_1_4_3_8_0.json,3,1.4200,1.3900,0.0115,0.0334,1.0000,1.6415,1.5254,
fcma_prob_16_2_1_0.json,1,13.0560,1.0000,0.1779,0.1920,1.0000,0.9274,0.9354,
fcma_prob_16_2_1_0.json,2,13.0560,1.0000,0.0958,0.1089,1.0000,1.1156,1.1026,
fcma_prob_16_2_1_0.json,3,13.0560,1.0000,0.0061,0.0191,1.0000,0.8356,0.7891,
fcma_prob_17_2_1_0.json,1,0.2880,1.0000,0.1772,0.1882,1.0000,1.1033,1.1097,
fcma_prob_17_2_1_0.json,2,0.2880,1.0000,0.0840,0.0908,1.0000,0.9427,0.9525,
fcma_prob_17_2_1_0.json,3,0.2880,1.0000,0.0069,0.0132,1.0000,1.1027,1.0493,
fcma_prob_18_2_1_0.json,1,1.0560,1.0000,0.1789,0.1909,1.0000,1.0085,0.9923,
fcma_prob_18_2_1_0.json,2,1.0560,1.0000,0.0910,0.1010,1.0000,1.0026,0.9991,
fcma_prob_18_2_1_0.json,3,1.0560,1.0000,0.0070,0.0200,1.0000,1.1628,1.2548,
fcma_prob_19_2_1_0.json,1,0.6720,1.0000,0.1710,0.1812,1.0000,0.9913,0.9872,
fcma_prob_19_2_1_0.json,2,0.6720,1.0000,0.1003,0.1103,1.0000,1.1519,1.1477,
fcma_prob_19_2_1_0.json,3,0.6720,1.0000,0.0073,0.0199,1.0000,1.0365,1.1797,
fcma_prob_1_1_1_0.json,1,0.0960,1.0000,0.1631,0.1676,1.0000,0.9824,0.9856,
fcma_prob_1_1_1_0.json,2,0.0960,1.0000,0.0816,0.0846,1.0000,0.9224,0.9109,
fcma_prob_1_1_1_0.json,3,0.0960,1.0000,0.0071,0.0101,1.0000,1.2721,1.1363,
fcma_prob_20_2_1_3_2_0.json,1,59.1360,1.0267,0.1846,0.2699,1.0000,1.0862,1.0405,
fcma_prob_20_2_1_3_2_0.json,2,58.9440,1.0233,0.1192,0.2104,1.0000,1.1422,1.0752,
fcma_prob_20_2_1_3_2_0.json,3,59.1360,1.0267,0.0070,0.0795,1.0000,1.1732,1.0111,
fcma_prob_21_2_1_3_2_0.json,1,2.3040,1.2000,0.1768,0.2117,1.0000,0.9933,0.9857,
fcma_prob_21_2_1_3_2_0.json,2,2.1120,1.1000,0.0901,0.1146,1.0000,0.9673,0.9697,
fcma_prob_21_2_1_3_2_0.json,3,2.1120,1.1000,0.0060,0.0142,1.0000,0.9707,0.9975,
fcma_prob_22_2_1_3_8_0.json,1,174.8520,1.1285,0.1679,0.9116,1.0000,0.9493,0.9971,
fcma_prob_22_2_1_3_8_0.json,2,174.6240,1.1270,0.0980,0.8005,1.0000,0.9377,1.0225,
fcma_prob_22_2_1_3_8_0.json,3,175.5120,1.1327,0.0071,0.6422,1.0000,0.9511,1.0028,
fcma_prob_23_2_1_3_8_0.json,1,1.6240,1.0573,0.1749,0.2056,1.0000,0.9587,0.9371,
fcma_prob_23_2_1_3_8_0.json,2,1.6240,1.0573,0.0896,0.1271,1.0000,1.0544,1.0341,
fcma_prob_23_2_1_3_8_0.json,3,1.6240,1.0573,0.0062,0.0203,1.0000,1.1354,1.0446,
fcma_prob_24_2_4_0.json,1,0.7708,1.0000,0.5618,0.5733,1.0001,1.0611,1.0605,
fcma_prob_24_2_4_0.json,2,0.7708,1.0000,0.0885,0.0980,1.0001,0.9363,0.9364,
